Time,Input1,output1,Input2,output2,Input3,output3,Input4,output4,,
57.5,1.309625776,0.531710124,-0.685220761,-0.230597443,3.798292542,-0.039634479,-1.724683535,0.013599587,,
57.6,0.932897999,0.581014018,-0.756353729,-0.257390574,-0.18601785,0.008629857,-1.684793835,0.011871361,,
57.7,0.320924395,0.628559692,-0.81906933,-0.286367491,-4.029553642,0.050363442,0.196251637,-0.00282966,,
57.8,-0.366987826,0.668483862,-0.916172325,-0.317715197,-4.823603572,0.053983151,1.862831798,-0.014438226,,
57.9,-0.811331931,0.695104134,-1.006270747,-0.351765404,-1.967246485,0.016749699,1.49369492,-0.010268331,,
58,-0.770837654,0.705620583,-0.95967861,-0.388584017,2.377883521,-0.033159283,-0.507763353,0.005123005,,
58.1,-0.324291045,0.701760349,-0.651428354,-0.426900139,4.923478686,-0.057973712,-1.954333895,0.014916096,,
58.2,0.149650886,0.688591504,-0.075230456,-0.463244935,3.743083338,-0.038914436,-1.265193197,0.008408842,,
58.3,0.281286406,0.671032645,0.626084017,-0.492192863,-0.270002856,0.009594788,0.806560442,-0.007287592,,
58.4,0.039033999,0.650841597,1.252430622,-0.507818872,-4.078756272,0.050843334,1.996898573,-0.015020034,,
58.5,-0.241880424,0.626672949,1.691700157,-0.505474363,-4.800788257,0.05361496,1.005010453,-0.006338425,,
58.6,-0.187139029,0.597068863,1.992687709,-0.482649178,-1.889679401,0.015812328,-1.085160886,0.009269857,,
58.7,0.222688858,0.563406831,2.290359863,-0.438448263,2.451501152,-0.033956352,-1.989459991,0.014748027,,
58.8,0.57528598,0.529647985,2.63283427,-0.372407921,4.937434508,-0.058027102,-0.719661786,0.004109455,,
58.9,0.37859969,0.498671005,2.857852684,-0.28424033,3.686815863,-0.038183588,1.336588401,-0.011019928,,
59,-0.450731957,0.468456506,2.649263872,-0.175273694,-0.353911524,0.010556968,1.932204415,-0.014106645,,
59.1,-1.416226432,0.432090492,1.769801883,-0.050926725,-4.126805726,0.051308783,0.416292456,-0.001777496,,
59.2,-1.78859067,0.382498006,0.312150204,0.077889492,-4.776615629,0.053231631,-1.554547129,0.012494034,,
59.3,-1.211260384,0.318495173,-1.238566637,0.196408708,-1.811578053,0.014870435,-1.826565552,0.013111923,,
59.4,-0.047682857,0.247036848,-2.22607413,0.290795779,2.524425677,-0.034743839,-0.102498971,-0.00059912,,
59.5,0.853539503,0.179240581,-2.217969454,0.353811584,4.949994383,-0.058064058,1.73357928,-0.013655596,,
59.6,0.808028683,0.122841184,-1.313897632,0.387829756,3.629506025,-0.037441955,1.675188647,-0.01178934,,
59.7,-0.171998668,0.076801429,-0.132801628,0.402958106,-0.437720132,0.011516085,-0.213861135,0.00296018,,
59.8,-1.405383096,0.032287948,0.551315294,0.410836066,-4.17368842,0.05175964,-1.869201809,0.014474488,,
59.9,-2.101465114,-0.020883989,0.307937172,0.417846823,-4.751092521,0.052833145,-1.481864247,0.010170737,,
60,-1.976861034,-0.087500355,-0.649254631,0.421965532,-1.732964522,0.013924188,0.52486606,-0.005248007,,
60.1,-1.420214155,-0.165030105,-1.580072436,0.415474594,2.596636478,-0.035521705,1.958018665,-0.014932007,,
60.2,-1.095493547,-0.247449282,-1.699697352,0.3918714,4.961154759,-0.058084851,1.251433284,-0.008298423,,
60.3,-1.352541183,-0.331008436,-0.716544252,0.352409287,3.571170027,-0.036689772,-0.822728097,0.00740332,,
60.4,-1.95384385,-0.41690908,0.93606563,0.307704688,-0.521404985,0.012471682,-1.997805832,0.015014289,,
60.5,-2.321982623,-0.508917041,2.343752507,0.272961807,-4.219391099,0.052195538,-0.989665857,0.006217184,,
60.6,-2.050688674,-0.608398728,2.683841585,0.259591723,-4.72422615,0.052419307,1.099988644,-0.009374559,,
60.7,-1.217472199,-0.711192544,1.754768539,0.268508879,-1.653861035,0.012973692,1.987567021,-0.014722181,,
60.8,-0.252661171,-0.808738523,0.111124782,0.289474544,2.668113139,-0.036289777,0.70311674,-0.003981727,,
60.9,0.463288413,-0.892041954,-1.288370702,0.307015761,4.970912482,-0.058089507,-1.349704969,0.011109565,,
61,0.876780897,-0.954966168,-1.689789186,0.309229124,3.511824362,-0.035927854,-1.927558618,0.014059804,,
61.1,1.176531425,-0.994637612,-1.010111604,0.293949596,-0.604942422,0.013423406,-0.398961257,0.001644964,,
61.2,1.485557437,-1.009849385,0.141030817,0.268544763,-4.263900841,0.052616765,1.56562406,-0.012567822,,
61.3,1.683671536,-1.000044323,0.887680867,0.243778801,-4.696024111,0.051990902,1.81928326,-0.013046824,,
